CVE,CVSS version,CVSS,EPSS,EPSS percentile
CVE-1999-0526,cvssMetricV2,10.0,0.807350000,0.986280000
CVE-1999-0005,cvssMetricV2,10.0,0.919630000,0.992200000
CVE-1999-1376,cvssMetricV2,10.0,0.756000000,0.984440000
CVE-1999-0874,cvssMetricV2,10.0,0.907420000,0.991390000
CVE-2000-0573,cvssMetricV2,10.0,0.968640000,0.998210000
CVE-2000-0917,cvssMetricV2,10.0,0.962570000,0.996870000
CVE-2000-0945,cvssMetricV2,10.0,0.969550000,0.998460000
CVE-2000-1089,cvssMetricV2,10.0,0.967830000,0.998010000
CVE-2001-0414,cvssMetricV2,10.0,0.903450000,0.991130000
CVE-2001-0241,cvssMetricV2,10.0,0.947060000,0.994620000
CVE-2001-0500,cvssMetricV2,10.0,0.961030000,0.996540000
CVE-2001-0537,cvssMetricV2,9.3,0.936750000,0.993570000
CVE-2001-0555,cvssMetricV2,10.0,0.709640000,0.983030000
CVE-2001-0779,cvssMetricV2,10.0,0.749420000,0.984280000
CVE-2001-0800,cvssMetricV2,10.0,0.967050000,0.997850000
CVE-2001-0797,cvssMetricV2,10.0,0.970270000,0.998640000
CVE-2002-0012,cvssMetricV2,10.0,0.889910000,0.990270000
CVE-2002-0013,cvssMetricV2,10.0,0.766290000,0.984780000
CVE-2002-0048,cvssMetricV2,10.0,0.927380000,0.992750000
CVE-2002-0640,cvssMetricV2,10.0,0.719700000,0.983280000
CVE-2000-1209,cvssMetricV2,10.0,0.769600000,0.984880000
CVE-2002-0391,cvssMetricV31,9.8,0.908830000,0.991460000
CVE-2002-1235,cvssMetricV2,10.0,0.719290000,0.983260000
CVE-2002-1318,cvssMetricV2,10.0,0.700100000,0.982740000
CVE-2002-1359,cvssMetricV2,10.0,0.959090000,0.996240000
