CVE,CVSS version,CVSS,EPSS,EPSS percentile
CVE-2024-53677,cvssMetricV40,9.5,0.822250000,0.991710000
CVE-2024-56145,cvssMetricV40,9.3,0.891780000,0.995130000
CVE-2003-0466,cvssMetricV31,9.8,0.897740000,0.995460000
CVE-2003-0545,cvssMetricV31,9.8,0.752400000,0.988010000
CVE-2005-2773,cvssMetricV31,9.8,0.903770000,0.995850000
CVE-2007-3798,cvssMetricV31,9.8,0.743990000,0.987560000
CVE-2007-4559,cvssMetricV31,9.8,0.926620000,0.997460000
CVE-2007-3010,cvssMetricV31,9.8,0.942120000,0.999130000
CVE-2008-0081,cvssMetricV31,9.8,0.817750000,0.991400000
CVE-2008-0655,cvssMetricV31,9.8,0.836140000,0.992310000
CVE-2009-1151,cvssMetricV31,9.8,0.887800000,0.994900000
CVE-2010-0840,cvssMetricV31,9.8,0.926160000,0.997440000
CVE-2010-2861,cvssMetricV31,9.8,0.942900000,0.999320000
CVE-2011-1889,cvssMetricV31,9.8,0.881510000,0.994540000
CVE-2011-3544,cvssMetricV31,9.8,0.930050000,0.997760000
CVE-2011-2462,cvssMetricV31,9.8,0.933570000,0.998090000
CVE-2012-0391,cvssMetricV31,9.8,0.910120000,0.996220000
CVE-2012-1710,cvssMetricV31,9.8,0.806020000,0.990780000
CVE-2012-1823,cvssMetricV31,9.8,0.944240000,0.999800000
CVE-2012-0507,cvssMetricV31,9.8,0.941030000,0.998960000
CVE-2012-1723,cvssMetricV31,9.8,0.940830000,0.998930000
CVE-2012-0911,cvssMetricV31,9.8,0.779450000,0.989400000
CVE-2012-4681,cvssMetricV31,9.8,0.941880000,0.999100000
CVE-2012-5076,cvssMetricV31,9.8,0.928200000,0.997570000
CVE-2012-3152,cvssMetricV31,9.1,0.921950000,0.997080000
CVE-2013-0625,cvssMetricV31,9.8,0.865600000,0.993690000
CVE-2013-0422,cvssMetricV31,9.8,0.936240000,0.998380000
CVE-2013-0632,cvssMetricV31,9.8,0.922490000,0.997120000
CVE-2013-2729,cvssMetricV31,9.8,0.912470000,0.996400000
CVE-2013-2465,cvssMetricV31,9.8,0.935610000,0.998300000
CVE-2013-2251,cvssMetricV31,9.8,0.943280000,0.999430000
CVE-2013-3346,cvssMetricV31,9.8,0.880920000,0.994510000
CVE-2013-4810,cvssMetricV31,9.8,0.868200000,0.993840000
CVE-2014-0497,cvssMetricV31,9.8,0.935260000,0.998260000
CVE-2014-2323,cvssMetricV31,9.8,0.917740000,0.996750000
CVE-2014-1510,cvssMetricV31,9.8,0.718220000,0.986250000
CVE-2014-1511,cvssMetricV31,9.8,0.721080000,0.986390000
CVE-2014-0780,cvssMetricV31,9.8,0.912880000,0.996440000
CVE-2014-1776,cvssMetricV31,9.8,0.801980000,0.990520000
CVE-2014-6271,cvssMetricV31,9.8,0.942200000,0.999150000
