CVE,CVSS,CVSS version,EPSS,EPSS percentile
CVE-1999-0095,10.0,cvssMetricV2,0.077640000,0.943290000
CVE-1999-0082,10.0,cvssMetricV2,0.015000000,0.869600000
CVE-1999-1471,7.2,cvssMetricV2,0.000420000,0.002890000
CVE-1999-1122,4.6,cvssMetricV2,0.000440000,0.154100000
CVE-1999-1467,10.0,cvssMetricV2,0.004710000,0.757910000
CVE-1999-1506,7.5,cvssMetricV2,0.002380000,0.620300000
CVE-1999-0084,8.4,cvssMetricV31,0.000440000,0.157950000
CVE-2000-0388,7.5,cvssMetricV2,0.010630000,0.843430000
CVE-1999-0209,5.0,cvssMetricV2,0.557770000,0.978690000
CVE-1999-1198,7.2,cvssMetricV2,0.000420000,0.002890000
CVE-1999-1391,7.2,cvssMetricV2,0.010790000,0.844470000
CVE-1999-1392,7.2,cvssMetricV2,0.000420000,0.002890000
CVE-1999-1057,4.6,cvssMetricV2,0.000420000,0.002890000
CVE-1999-1197,7.2,cvssMetricV2,0.002230000,0.609250000
CVE-1999-1115,7.2,cvssMetricV2,0.000600000,0.282490000
CVE-1999-1258,5.0,cvssMetricV2,0.003860000,0.732800000
CVE-1999-1438,7.2,cvssMetricV2,0.000440000,0.154100000
CVE-1999-1211,7.2,cvssMetricV2,0.000470000,0.202440000
CVE-1999-1212,7.2,cvssMetricV2,0.000470000,0.202440000
CVE-1999-1194,7.2,cvssMetricV2,0.000420000,0.002890000
CVE-1999-1193,10.0,cvssMetricV2,0.014900000,0.868800000
CVE-1999-1123,7.2,cvssMetricV2,0.000420000,0.002890000
CVE-1999-1034,7.2,cvssMetricV2,0.000420000,0.002890000
CVE-1999-1415,4.6,cvssMetricV2,0.000450000,0.184980000
CVE-1999-1090,7.5,cvssMetricV2,0.007160000,0.806850000
CVE-1999-0498,10.0,cvssMetricV2,0.007270000,0.808380000
CVE-1999-1468,6.2,cvssMetricV2,0.000440000,0.154100000
CVE-1999-0167,4.6,cvssMetricV2,0.000440000,0.157950000
CVE-1999-1493,10.0,cvssMetricV2,0.008300000,0.821120000
CVE-1999-1032,10.0,cvssMetricV2,0.003650000,0.725510000
CVE-1999-1059,10.0,cvssMetricV2,0.005030000,0.766140000
CVE-1999-1121,7.2,cvssMetricV2,0.000600000,0.280040000
CVE-1999-0117,7.2,cvssMetricV2,0.000420000,0.050030000
CVE-1999-1119,10.0,cvssMetricV2,0.006200000,0.790540000
CVE-1999-1142,7.2,cvssMetricV2,0.000440000,0.154100000
CVE-1999-0168,7.5,cvssMetricV2,0.024980000,0.900540000
CVE-1999-0214,10.0,cvssMetricV2,0.012600000,0.856640000
CVE-1999-1396,7.2,cvssMetricV2,0.000440000,0.154100000
CVE-1999-1395,7.2,cvssMetricV2,0.000670000,0.322950000
CVE-1999-1306,7.5,cvssMetricV2,0.003840000,0.732410000
CVE-1999-1466,7.5,cvssMetricV2,0.002320000,0.616590000
CVE-1999-1021,7.2,cvssMetricV2,0.000440000,0.154100000
CVE-1999-0312,5.0,cvssMetricV2,0.005440000,0.775920000
CVE-1999-1507,7.2,cvssMetricV2,0.001270000,0.486830000
CVE-1999-1312,7.2,cvssMetricV2,0.000450000,0.184980000
CVE-1999-1216,7.5,cvssMetricV2,0.003830000,0.731840000
CVE-1999-1162,6.4,cvssMetricV2,0.001150000,0.468910000
CVE-1999-0124,10.0,cvssMetricV2,0.015000000,0.869600000
CVE-1999-1215,4.6,cvssMetricV2,0.000500000,0.229060000
CVE-1999-1138,10.0,cvssMetricV2,0.107650000,0.951920000
CVE-1999-1318,7.2,cvssMetricV2,0.000470000,0.203150000
CVE-1999-0145,7.2,cvssMetricV2,0.000770000,0.360800000
CVE-1999-0334,7.2,cvssMetricV2,0.003640000,0.725070000
CVE-1999-0181,6.8,cvssMetricV2,0.003900000,0.734240000
CVE-1999-1242,4.6,cvssMetricV2,0.000420000,0.050030000
CVE-1999-0211,5.0,cvssMetricV2,0.010030000,0.838020000
CVE-1999-0338,7.2,cvssMetricV2,0.000420000,0.050030000
CVE-1999-0120,7.2,cvssMetricV2,0.000440000,0.157950000
CVE-1999-1135,7.2,cvssMetricV2,0.000420000,0.050030000
CVE-1999-1146,7.2,cvssMetricV2,0.000420000,0.050030000
CVE-1999-1388,6.2,cvssMetricV2,0.000440000,0.157950000
CVE-1999-1134,7.2,cvssMetricV2,0.000420000,0.050030000
CVE-1999-0113,10.0,cvssMetricV2,0.014050000,0.864880000
CVE-1999-0423,4.6,cvssMetricV2,0.000420000,0.050030000
CVE-1999-0337,7.5,cvssMetricV2,0.006760000,0.800780000
CVE-1999-0207,7.5,cvssMetricV2,0.054700000,0.932370000
CVE-1999-1239,4.6,cvssMetricV2,0.000420000,0.050030000
CVE-1999-1552,7.2,cvssMetricV2,0.000450000,0.185670000
CVE-1999-1219,7.2,cvssMetricV2,0.001210000,0.478130000
CVE-1999-1238,4.6,cvssMetricV2,0.000420000,0.050030000
CVE-1999-1022,6.2,cvssMetricV2,0.000450000,0.187580000
CVE-1999-1248,4.6,cvssMetricV2,0.000420000,0.050030000
CVE-1999-1302,7.2,cvssMetricV2,0.000420000,0.050030000
CVE-1999-1303,7.2,cvssMetricV2,0.000450000,0.185670000
CVE-1999-1304,7.2,cvssMetricV2,0.000450000,0.185670000
CVE-1999-1305,7.2,cvssMetricV2,0.000450000,0.185670000
CVE-2000-0508,5.0,cvssMetricV2,0.010920000,0.845280000
