CVE,CVSS version,CVSS,EPSS,EPSS percentile
CVE-1999-0003,cvssMetricV2,10.0,0.91459,0.9966
CVE-1999-0009,cvssMetricV2,10.0,0.79597,0.9903
CVE-1999-0067,cvssMetricV2,10.0,0.92042,0.99696
CVE-1999-0526,cvssMetricV2,10.0,0.78825,0.98989
CVE-1999-0874,cvssMetricV2,10.0,0.85132,0.9931
CVE-1999-1011,cvssMetricV2,10.0,0.79296,0.99013
CVE-2000-0248,cvssMetricV2,10.0,0.7588,0.98839
CVE-2000-0322,cvssMetricV2,10.0,0.77767,0.98939
CVE-2000-0573,cvssMetricV2,10.0,0.91378,0.99653
CVE-2000-0917,cvssMetricV2,10.0,0.83542,0.99237
CVE-2000-0945,cvssMetricV2,10.0,0.87926,0.99454
CVE-2000-1089,cvssMetricV2,10.0,0.80116,0.99051
CVE-2000-1209,cvssMetricV2,10.0,0.89607,0.99541
CVE-2001-0236,cvssMetricV2,10.0,0.77743,0.98938
CVE-2001-0241,cvssMetricV2,10.0,0.89919,0.99562
CVE-2001-0414,cvssMetricV2,10.0,0.89319,0.99523
CVE-2001-0499,cvssMetricV2,10.0,0.74942,0.9879
CVE-2001-0500,cvssMetricV2,10.0,0.90413,0.99591
CVE-2001-0537,cvssMetricV2,9.3,0.93017,0.99778
CVE-2001-0779,cvssMetricV2,10.0,0.8072,0.99083
CVE-2001-0797,cvssMetricV2,10.0,0.91656,0.99671
CVE-2001-0800,cvssMetricV2,10.0,0.78029,0.98952
CVE-2002-0679,cvssMetricV2,10.0,0.70866,0.9858
CVE-2002-1318,cvssMetricV2,10.0,0.75047,0.98794
CVE-2002-1359,cvssMetricV2,10.0,0.80422,0.99068
CVE-2002-2268,cvssMetricV2,9.4,0.75418,0.98813
CVE-2003-0085,cvssMetricV2,10.0,0.86073,0.99357
CVE-2003-0161,cvssMetricV2,10.0,0.82724,0.99196
CVE-2003-0201,cvssMetricV2,10.0,0.81621,0.99134
CVE-2003-0347,cvssMetricV2,10.0,0.74805,0.98784
CVE-2003-0466,cvssMetricV31,9.8,0.89774,0.99552
CVE-2003-0545,cvssMetricV31,9.8,0.7524,0.98803
CVE-2003-0694,cvssMetricV2,10.0,0.75672,0.9883
CVE-2003-0722,cvssMetricV2,10.0,0.89607,0.9954
CVE-2003-0780,cvssMetricV2,9.0,0.72999,0.9869
CVE-2003-1192,cvssMetricV2,10.0,0.82365,0.99179
CVE-2004-0200,cvssMetricV2,9.3,0.75514,0.98819
CVE-2004-0209,cvssMetricV2,10.0,0.79274,0.99013
CVE-2004-0212,cvssMetricV2,10.0,0.78555,0.98976
CVE-2004-0214,cvssMetricV2,10.0,0.74753,0.98781
CVE-2004-0313,cvssMetricV2,10.0,0.71325,0.98602
CVE-2004-0326,cvssMetricV2,10.0,0.80415,0.99068
CVE-2004-0330,cvssMetricV2,10.0,0.86673,0.99386
CVE-2004-0380,cvssMetricV2,10.0,0.79378,0.99017
CVE-2004-0541,cvssMetricV2,10.0,0.75791,0.98835
CVE-2004-0574,cvssMetricV2,10.0,0.85365,0.99324
CVE-2004-0575,cvssMetricV2,10.0,0.72439,0.98657
CVE-2004-0597,cvssMetricV2,10.0,0.84316,0.99272
CVE-2004-0636,cvssMetricV2,10.0,0.78516,0.98974
CVE-2004-0646,cvssMetricV2,10.0,0.70947,0.98584
CVE-2004-0964,cvssMetricV2,10.0,0.83984,0.99257
CVE-2004-1037,cvssMetricV2,10.0,0.85829,0.99347
CVE-2004-1050,cvssMetricV2,10.0,0.74457,0.98762
CVE-2004-1080,cvssMetricV2,10.0,0.89406,0.99527
CVE-2004-1134,cvssMetricV2,10.0,0.81254,0.99113
CVE-2004-1172,cvssMetricV2,10.0,0.79619,0.99031
CVE-2004-1211,cvssMetricV2,10.0,0.83193,0.9922
CVE-2004-2687,cvssMetricV2,9.3,0.90613,0.99603
CVE-2005-0059,cvssMetricV2,10.0,0.89036,0.99506
CVE-2005-0260,cvssMetricV2,10.0,0.81028,0.99099
CVE-2005-0353,cvssMetricV2,10.0,0.77307,0.9891
CVE-2005-0491,cvssMetricV2,10.0,0.84329,0.99272
CVE-2005-0684,cvssMetricV2,10.0,0.73975,0.9873
CVE-2005-0768,cvssMetricV2,10.0,0.7611,0.9885
CVE-2005-0771,cvssMetricV2,10.0,0.77194,0.98904
CVE-2005-1009,cvssMetricV2,10.0,0.75887,0.9884
CVE-2005-1099,cvssMetricV2,10.0,0.7931,0.99014
CVE-2005-1256,cvssMetricV2,10.0,0.89023,0.99506
CVE-2005-1812,cvssMetricV2,10.0,0.82151,0.99168
CVE-2005-1983,cvssMetricV2,10.0,0.87976,0.99457
CVE-2005-2611,cvssMetricV2,10.0,0.82551,0.99186
CVE-2005-2668,cvssMetricV2,10.0,0.8363,0.99242
CVE-2005-2773,cvssMetricV31,9.8,0.90377,0.99589
CVE-2006-0001,cvssMetricV2,9.3,0.72926,0.98685
CVE-2006-0005,cvssMetricV2,9.3,0.71765,0.98619
CVE-2006-0006,cvssMetricV2,9.3,0.739,0.98728
CVE-2006-0992,cvssMetricV2,10.0,0.8856,0.99483
CVE-2006-1186,cvssMetricV2,10.0,0.7482,0.98785
CVE-2006-1190,cvssMetricV2,10.0,0.78378,0.98968
CVE-2006-1255,cvssMetricV2,10.0,0.86557,0.99377
CVE-2006-1359,cvssMetricV2,9.3,0.87602,0.99436
CVE-2006-1652,cvssMetricV2,9.0,0.85939,0.9935
CVE-2006-2372,cvssMetricV2,10.0,0.88709,0.99491
CVE-2006-2382,cvssMetricV2,10.0,0.70575,0.98565
CVE-2006-2389,cvssMetricV2,9.3,0.74233,0.98751
CVE-2006-2630,cvssMetricV2,10.0,0.78642,0.98982
CVE-2006-3059,cvssMetricV2,9.3,0.75067,0.98795
CVE-2006-3439,cvssMetricV2,10.0,0.88778,0.99495
CVE-2006-3440,cvssMetricV2,10.0,0.73393,0.98707
CVE-2006-3441,cvssMetricV2,10.0,0.73679,0.98721
CVE-2006-3730,cvssMetricV2,9.3,0.8831,0.9947
CVE-2006-3738,cvssMetricV2,10.0,0.73112,0.98695
CVE-2006-3838,cvssMetricV2,10.0,0.75192,0.98801
CVE-2006-4305,cvssMetricV2,10.0,0.73909,0.98729
CVE-2006-4691,cvssMetricV2,10.0,0.88675,0.99489
CVE-2006-5156,cvssMetricV2,10.0,0.74707,0.98777
CVE-2006-5276,cvssMetricV2,10.0,0.87695,0.99442
CVE-2006-5559,cvssMetricV2,9.3,0.72081,0.98637
CVE-2006-5815,cvssMetricV2,10.0,0.72162,0.98642
CVE-2006-6076,cvssMetricV2,10.0,0.7398,0.98732
CVE-2006-6184,cvssMetricV2,10.0,0.82016,0.99159
CVE-2006-6425,cvssMetricV2,9.0,0.75978,0.98844
CVE-2006-6561,cvssMetricV2,9.3,0.73834,0.98726
CVE-2007-0018,cvssMetricV2,9.3,0.701,0.98543
CVE-2007-0031,cvssMetricV2,9.3,0.74387,0.9876
CVE-2007-0038,cvssMetricV2,9.3,0.89309,0.99521
CVE-2007-0071,cvssMetricV2,9.3,0.87686,0.9944
CVE-2007-0213,cvssMetricV2,10.0,0.79558,0.99027
CVE-2007-0216,cvssMetricV2,9.3,0.71265,0.986
CVE-2007-0217,cvssMetricV2,10.0,0.76216,0.98857
CVE-2007-0325,cvssMetricV2,9.3,0.73581,0.98716
CVE-2007-0348,cvssMetricV2,9.3,0.74294,0.98754
CVE-2007-0352,cvssMetricV2,9.3,0.80984,0.99096
CVE-2007-0449,cvssMetricV2,10.0,0.81657,0.99136
CVE-2007-0882,cvssMetricV2,10.0,0.91299,0.99649
CVE-2007-0940,cvssMetricV2,9.3,0.74938,0.98789
CVE-2007-1070,cvssMetricV2,10.0,0.77727,0.98936
