CVE,CVSS version,CVSS,EPSS,EPSS percentile
CVE-1999-0517,cvssMetricV2,7.5,0.92333,0.9972
CVE-1999-1053,cvssMetricV2,7.5,0.90734,0.99612
CVE-2000-0886,cvssMetricV2,7.5,0.90417,0.99592
CVE-2002-0061,cvssMetricV2,7.5,0.90082,0.99573
CVE-2002-0656,cvssMetricV2,7.5,0.90123,0.99577
CVE-2002-0661,cvssMetricV2,7.5,0.92151,0.99704
CVE-2002-0840,cvssMetricV2,6.8,0.92046,0.99698
CVE-2003-0352,cvssMetricV2,7.5,0.91306,0.99649
CVE-2003-0533,cvssMetricV2,7.5,0.90683,0.99608
CVE-2004-0493,cvssMetricV2,6.4,0.91439,0.99659
CVE-2005-0116,cvssMetricV2,7.5,0.92013,0.99693
CVE-2005-1348,cvssMetricV2,7.5,0.91236,0.99642
CVE-2005-1921,cvssMetricV2,7.5,0.91279,0.99647
CVE-2005-4560,cvssMetricV2,7.5,0.90524,0.99597
CVE-2006-0003,cvssMetricV2,5.1,0.91666,0.99671
CVE-2006-2237,cvssMetricV2,5.1,0.90596,0.99602
CVE-2006-2369,cvssMetricV2,7.5,0.92854,0.99764
CVE-2006-3747,cvssMetricV2,7.6,0.9178,0.99679
CVE-2006-3918,cvssMetricV2,4.3,0.91582,0.99667
CVE-2006-4847,cvssMetricV2,6.5,0.902,0.99581
CVE-2007-2449,cvssMetricV2,4.3,0.92536,0.99737
CVE-2007-3925,cvssMetricV2,6.5,0.90961,0.99623
CVE-2007-4560,cvssMetricV2,7.6,0.91095,0.99633
CVE-2007-5659,cvssMetricV31,7.8,0.93445,0.99818
CVE-2007-6750,cvssMetricV2,5.0,0.9014,0.99578
CVE-2008-0226,cvssMetricV2,7.5,0.91936,0.99688
CVE-2008-1105,cvssMetricV2,7.5,0.91259,0.99644
CVE-2008-1447,cvssMetricV31,6.8,0.92309,0.99718
CVE-2008-2938,cvssMetricV2,4.3,0.93218,0.99796
CVE-2008-2992,cvssMetricV31,7.8,0.93947,0.99877
CVE-2009-0580,cvssMetricV2,4.3,0.91215,0.9964
CVE-2009-0658,cvssMetricV31,7.8,0.90801,0.99614
CVE-2009-0927,cvssMetricV31,8.8,0.94037,0.9989
CVE-2009-1122,cvssMetricV2,7.5,0.92339,0.99721
CVE-2009-1185,cvssMetricV2,7.2,0.91606,0.99668
CVE-2009-1535,cvssMetricV2,7.5,0.91826,0.99682
CVE-2009-2265,cvssMetricV2,7.5,0.9253,0.99736
CVE-2009-2288,cvssMetricV2,7.5,0.933,0.99803
CVE-2009-2765,cvssMetricV2,8.3,0.92013,0.99693
CVE-2009-3733,cvssMetricV2,5.0,0.90675,0.99608
CVE-2009-3953,cvssMetricV31,8.8,0.91826,0.99682
CVE-2009-4140,cvssMetricV2,7.5,0.91745,0.99675
CVE-2009-4324,cvssMetricV31,7.8,0.93647,0.99843
CVE-2010-0188,cvssMetricV31,7.8,0.93271,0.99801
CVE-2010-0249,cvssMetricV31,8.8,0.90983,0.99625
CVE-2010-0738,cvssMetricV31,5.3,0.93577,0.99835
CVE-2010-0842,cvssMetricV2,7.5,0.91327,0.9965
CVE-2010-1297,cvssMetricV31,7.8,0.93653,0.99844
CVE-2010-1870,cvssMetricV2,5.0,0.92851,0.99763
CVE-2010-1871,cvssMetricV31,8.8,0.93853,0.99865
CVE-2010-2568,cvssMetricV31,7.8,0.94079,0.99893
CVE-2010-2883,cvssMetricV31,7.3,0.93927,0.99874
CVE-2010-3333,cvssMetricV31,7.8,0.93975,0.99882
CVE-2010-3964,cvssMetricV2,7.5,0.90105,0.99575
CVE-2011-0049,cvssMetricV2,5.0,0.91269,0.99646
CVE-2011-0063,cvssMetricV2,5.0,0.90854,0.99618
CVE-2011-0609,cvssMetricV31,7.8,0.92629,0.99745
CVE-2011-0611,cvssMetricV31,8.8,0.93698,0.99849
CVE-2011-1473,cvssMetricV2,5.0,0.92682,0.99748
CVE-2011-3192,cvssMetricV2,7.8,0.93571,0.99833
CVE-2011-3315,cvssMetricV2,7.8,0.91841,0.99683
CVE-2012-0158,cvssMetricV31,8.8,0.94319,0.9994
CVE-2012-0392,cvssMetricV2,6.8,0.93987,0.99882
CVE-2012-0393,cvssMetricV2,6.4,0.90514,0.99596
CVE-2012-0394,cvssMetricV2,6.8,0.93819,0.99863
CVE-2012-0754,cvssMetricV31,8.1,0.93138,0.99788
CVE-2012-1459,cvssMetricV2,4.3,0.91719,0.99673
CVE-2012-1535,cvssMetricV31,7.8,0.92202,0.99709
CVE-2012-1675,cvssMetricV2,7.5,0.91411,0.99656
CVE-2012-1856,cvssMetricV31,8.8,0.92587,0.99741
CVE-2012-1889,cvssMetricV31,8.8,0.92994,0.99777
CVE-2012-2122,cvssMetricV2,5.1,0.94033,0.99889
CVE-2012-2311,cvssMetricV2,7.5,0.92595,0.99742
CVE-2012-2962,cvssMetricV2,6.5,0.90336,0.99586
CVE-2012-4792,cvssMetricV31,8.8,0.91198,0.99639
CVE-2012-4969,cvssMetricV31,8.1,0.9261,0.99744
CVE-2013-0074,cvssMetricV31,7.8,0.93054,0.99781
CVE-2013-0156,cvssMetricV2,7.5,0.93413,0.99816
CVE-2013-0333,cvssMetricV2,7.5,0.91348,0.99651
CVE-2013-0431,cvssMetricV31,5.3,0.92442,0.99729
CVE-2013-0640,cvssMetricV31,7.8,0.93358,0.9981
CVE-2013-2028,cvssMetricV2,7.5,0.92971,0.99775
CVE-2013-2115,cvssMetricV31,8.1,0.92843,0.99763
CVE-2013-2186,cvssMetricV2,7.5,0.91232,0.99642
CVE-2013-2248,cvssMetricV2,5.8,0.93327,0.99805
CVE-2013-2423,cvssMetricV2,4.3,0.93609,0.99837
CVE-2013-2551,cvssMetricV31,8.8,0.92743,0.99753
CVE-2013-2566,cvssMetricV30,5.9,0.93028,0.99779
CVE-2013-3827,cvssMetricV2,5.0,0.93327,0.99806
CVE-2013-3906,cvssMetricV31,7.8,0.92742,0.99752
CVE-2013-4547,cvssMetricV2,7.5,0.93686,0.99847
CVE-2013-5211,cvssMetricV2,5.0,0.92596,0.99742
CVE-2013-6397,cvssMetricV2,4.3,0.9299,0.99776
CVE-2013-7091,cvssMetricV2,5.0,0.91022,0.99626
CVE-2014-0050,cvssMetricV2,7.5,0.92594,0.99741
CVE-2014-0094,cvssMetricV2,5.0,0.92928,0.99772
CVE-2014-0112,cvssMetricV2,7.5,0.91817,0.99681
CVE-2014-0114,cvssMetricV2,7.5,0.92095,0.99701
CVE-2014-0160,cvssMetricV31,7.5,0.94477,0.99998
CVE-2014-0195,cvssMetricV2,6.8,0.90527,0.99598
CVE-2014-0322,cvssMetricV31,8.8,0.93327,0.99806
CVE-2014-1761,cvssMetricV31,7.8,0.92707,0.99749
CVE-2014-2962,cvssMetricV2,7.8,0.923,0.99716
CVE-2014-3470,cvssMetricV2,4.3,0.92259,0.99712
CVE-2014-3566,cvssMetricV2,4.3,0.94199,0.99912
CVE-2014-3704,cvssMetricV2,7.5,0.94398,0.9997
CVE-2014-4114,cvssMetricV31,7.8,0.91927,0.99688
CVE-2014-4210,cvssMetricV2,5.0,0.94205,0.99913
CVE-2014-5445,cvssMetricV2,5.0,0.91587,0.99667
CVE-2014-6332,cvssMetricV31,8.8,0.94088,0.99895
CVE-2014-6352,cvssMetricV31,7.8,0.91322,0.9965
CVE-2015-0016,cvssMetricV31,7.8,0.91992,0.99691
CVE-2015-0204,cvssMetricV2,4.3,0.93155,0.99789
CVE-2015-1328,cvssMetricV30,7.8,0.90134,0.99578
CVE-2015-1503,cvssMetricV30,7.5,0.92637,0.99745
CVE-2015-1641,cvssMetricV31,7.8,0.93416,0.99816
CVE-2015-1701,cvssMetricV31,7.8,0.90648,0.99606
CVE-2015-2080,cvssMetricV30,7.5,0.93299,0.99803
CVE-2015-2426,cvssMetricV31,8.8,0.91838,0.99683
CVE-2015-2545,cvssMetricV31,7.8,0.93811,0.99862
CVE-2015-3035,cvssMetricV31,7.5,0.93539,0.99829
